rank,organization,Categorization,treasury,last 24hrs,top treasury tokens,main treasury chain,governance token holders,active members,proposals,votes,launch date
114,StakeWise,Investment and Grant,$192.1k,-6.50%,"SWISE,ETH",Ethereum,1.9k,301,40,1.1k,03-01-2021
115,UkraineDAO,Investment and Grant,$185.7k,-3.60%,"DAI,LOVE,STARL,MATIC,BNB",Ethereum,3.6k,0,0,0,02-26-2022
116,dOrg,Service and Social,$163.2k,0.90%,"USDC,DAI,ETH,GEN,REQ",Ethereum,90,81,260,1.2k,03-06-2020
117,Unicly,Protocol ,$161.5k,-13.90%,"unic,akSwap.io,ETH,uUNICLY,ENS",Ethereum,738,126,37,398,05-20-2021
118,0x117d1F8CB4Bf6e74Bc5D667f15af7b810baCCCD6,Protocol ,$122k,-4.60%,"ETH,MANA,REP,SAI,WSG",Ethereum,6,6,212,417,12-10-2019
119,Stacker Ventures,Investment and Grant,$120.5k,-4.50%,"STACK,ibETHv2,UNI-V2,DAI,ETH",Ethereum,1.4k,88,34,213,02-17-2021
120,Odyssy,Service and Social,$96.9k,3.50%,"HAUS,RAID,esr,ETH",Ethereum,6,6,10,13,04-01-2021
121,Shark DAO,Investment and Grant,$89.2k,-4.30%,"ETH,SLP,SHARK",Ethereum,565,565,165,5.6k,08-09-2021
122,CrisisDAO,Service and Social,$89.1k,-4.80%,"WETH,ape,ETH,WRLD,ENS",Ethereum,60,60,74,942,05-06-2021
123,FreeRossDAO,Service and Social,$59.3k,56%,"USDC,FREE,ETH,USDT,BNB",Ethereum,4.8k,708,13,1.2k,12-17-2021
124,WOOF DAO,Service and Social,$35.3k,2.40%,"mSOL,WOOF,USDC,BDE,SOL",Solana,27.2k,10,63,260,01-13-2022
125,GRAPE,Service and Social,$31.9k,3.60%,"GRAPE,SOL",Solana,13.2k,365,53,1.6k,12-15-2021
126,JINN,Investment and Grant,$31.6k,-4.50%,"WETH,ETH",Ethereum,11,6,10,9,07-31-2021
127,BullsOnTheBlock (BOTB),Media,$29.9k,-4.40%,"ETH,ENS,WETH,MATIC",Ethereum,2.3k,950,33,3.2k,09-27-2021
128,cadcad,Service and Social,$29.5k,-0.70%,"USDC,DAI,ETH,PAN,BRIGHT",Ethereum,6,2,5,2,06-11-2020
129,Warcamp,Service and Social,$29.3k,2.90%,"HAUS,GNO,esr,LEVIN,XGT",Ethereum,92,72,347,550,09-07-2020
130,murziki,Investment and Grant,$25.7k,-4.60%,"ETH,SAI",Ethereum,4,3,13,14,12-22-2018
131,BerezkafLexDAO,Investment and Grant,$25.7k,23.90%,"USDC,AAVE,COMP,SUSHI,aUSDC",Ethereum,150,6,847,1.3k,04-11-2021
132,blequity,Service and Social,$24.6k,-4.60%,ETH,Ethereum,8,3,4,6,06-13-2020
