rank,organization,Categorization,treasury,last 24hrs,top treasury tokens,main treasury chain,governance token holders,active members,proposals,votes,launch date
50,PartyDAO,Service and Social,$15.8M,-0.10%,"USDC,ETH,WETH,YUP",Ethereum,188,95,13,262,05-06-2021
51,Silo,Protocol ,$14.2M,-0.60%,"USDC,WETH,FXS,CVX,ETH",Ethereum,4.2k,230,7,419,12-22-2021
52,Synthetix,Protocol ,$13.2M,-0.20%,"SNX,sUSD,USDC,DAI,aSNX",Ethereum,110k,8.1k,46,11.2k,11-30-2020
53,Index Coop,Service and Social,$12.9M,32.30%,"INDEX,fG-UNI-FEI-USDC-8,fG-UNI-FEI-DAI-8,USDC,G-UNI",Polygon,7k,2.8k,408,18.1k,11-04-2021
54,Unlock,Protocol ,$11.7M,-3.60%,"UDT,USDC,DAI,UNI-V2,ETH",Ethereum,4.9k,151,22,402,06-04-2021
55,MANTRA DAO,Protocol ,$8.9M,-7.70%,"OM,ETH,OM",Ethereum,9.6k,1.2k,88,6.9k,11-10-2020
56,MeebitsDAO,Investment and Grant,$8.6M,-4.10%,"ETH,USDC,WETH,YGG,ape",Ethereum,3.5k,83,23,455,06-11-2021
57,DeFiGeek Community,Service and Social,$8.1M,-5.60%,"BPT-V1,TXJP,98TXJP-2WETH,cETH,akSwap.io",Ethereum,370,211,22,745,01-27-2021
58,Inverse,Protocol ,$8.1M,36%,"INV,ABSHIBA.com,DOLA,SLP,SLP",Ethereum,3.4k,420,29,1.7k,01-02-2021
59,pNetwork,Protocol ,$7.7M,0.70%,"PNT,ETH,UNI-V2,IQ",Ethereum,1.6k,14,4,13,10-25-2021
60,MoonDAO,Service and Social,$7.7M,-8.30%,"MOONEY,DAI,ETH,JBX,USDC",Ethereum,8.6k,1.7k,25,6.3k,01-24-2022
61,BarnBridge,Protocol ,$7.5M,-3.60%,"BOND,USDC,DAI,USDT,GUSD",Ethereum,11.7k,461,71,1.5k,08-21-2020
62,MetaCartel Ventures,Investment and Grant,$7M,-1.80%,"USDC,WETH,RAI,FLX,DAI",Ethereum,125,103,479,1.5k,11-25-2020
63,The LAO,Investment and Grant,$6.9M,-4.50%,"WETH,ETH",Ethereum,142,113,174,471,04-28-2020
64,Crust,Protocol ,$6.5M,0.00%,CRU,Substrate,78.5k,12,6,20,12-02-2019
65,Stakeborg DAO,Service and Social,$6.4M,0.10%,"STANDARD,ILSI,ETH",Ethereum,772,94,2,241,05-06-2022
66,Paragons,Service and Social,$6.3M,-1.60%,"DAI,USDC,PDT,ETH,USDT",Ethereum,1.4k,293,17,692,12-04-2021
67,dHedge,Protocol ,$6.2M,2%,"DHT,aUSDC,sUSD,aSUSD,MASK",Ethereum,4k,258,77,1.2k,07-07-2020
68,Alchemix,Protocol ,$5.7M,-9.10%,"ALCX,yvDAI,yvWETH,DAI,WETH",Ethereum,13.1k,2k,61,9.1k,02-28-2021
69,PieDAO,Investment and Grant,$4.9M,80.70%,"DOUGH,BPT-V1,USDC,UNI-V2,gOHM",Ethereum,3.5k,458,433,6.4k,04-27-2020
